close,forward_return_1800s,forward_return_180s,forward_return_300s,forward_return_600s,forward_return_60s,forward_return_900s,futures_book_imbalance_10_mean,futures_book_imbalance_1_mean,futures_book_imbalance_20_mean,futures_book_imbalance_5_mean,futures_book_valid_seconds,futures_delta_qty,futures_delta_ratio,futures_microprice_mean,futures_spread_bps_mean,futures_total_qty,high,low,open,symbol,three_minute_epoch,three_minute_utc,trade_count
0.08442,0.0,-0.00023691068467179832,,,,-0.0009476427386875264,0.008718051474110528,0.27237832127243383,-0.05964555220740316,0.07692170641270116,0,392412.0,0.220430669259625,0.0844196952249397,1.184576813628426,1780206.0,0.08443,0.0844,0.0844,B-DOGE_USDT,1789192080,2026-09-12T05:48:00+00:00,437
0.0844,-0.00011848341232223447,-0.00011848341232223447,,,,-0.0008293838862559744,-0.032632841829342986,-0.24905944449751027,-0.07859643268557641,0.032731494145842886,0,1497817.0,0.44897177996495913,0.08442042136944417,1.1845300469406048,3336105.0,0.08443,0.0844,0.08442,B-DOGE_USDT,1789192260,2026-09-12T05:51:00+00:00,439
0.08439,0.0,-0.00023699490460959982,,,,-0.000592487261523944,-0.0391887818529775,-0.09484779794251604,-0.0153855557963647,-0.020243984246797617,0,-18175.0,-0.007617169246166374,0.08438619242767696,1.1850213437883088,2386057.0,0.08441,0.08437,0.0844,B-DOGE_USDT,1789192440,2026-09-12T05:54:00+00:00,324
0.08437,0.000237051084508888,-0.00035557662676310997,,,,-0.000237051084508777,-0.09967231955472006,0.08602166106902198,-0.03692228451027579,-0.04518400200293751,0,-654429.0,-0.1314414028096765,0.084397096774972,1.18488096614014,4978865.0,0.08443,0.08436,0.0844,B-DOGE_USDT,1789192620,2026-09-12T05:57:00+00:00,129
0.08434,0.0017785155323688517,0.0,,,,0.0010671093194214443,-0.030030898953375306,0.32829808746046196,0.08736501412316555,0.0404164616058088,0,240338.0,0.06905307942980311,0.08436664149043731,1.185325668226886,3480482.0,0.08438,0.08434,0.08437,B-DOGE_USDT,1789192800,2026-09-12T06:00:00+00:00,205
0.08434,0.0005928385107898393,-0.00011856770215790124,,,,0.000948541617263432,-0.22288786571308203,-0.07781396660257164,0.05053075242091871,-0.13439200571355162,0,-803707.0,-0.1860923516640151,0.08434794426350033,1.1855598843566173,4318861.0,0.08436,0.08434,0.08434,B-DOGE_USDT,1789192980,2026-09-12T06:03:00+00:00,254
0.08433,0.0004743270484999229,0.00011858176212498073,,,,0.0007114905727498844,-0.1444313006715711,-0.43576134031857666,0.06760735402183826,-0.27164739628003226,0,278167.0,0.16373503798079328,0.08433615452663175,1.185700456246087,1698885.0,0.08435,0.08432,0.08434,B-DOGE_USDT,1789193160,2026-09-12T06:06:00+00:00,315
0.08434,0.000474270808631605,0.00011856770215779022,,,,0.0005928385107898393,-0.08212084164287878,-0.1262235915449043,0.11227044913749468,-0.06763402604642828,0,606522.0,0.26209753390939405,0.08433770221537562,1.185700456246087,2314108.0,0.08436,0.08433,0.08434,B-DOGE_USDT,1789193340,2026-09-12T06:09:00+00:00,371
0.08435,0.0018968583283935914,0.0009484291641970177,,,,0.0004742145820986199,-0.04964761899809075,0.14083489571012217,0.07180929628231549,-0.005192983888332263,0,30048.0,0.020649673019354945,0.08436403750781189,1.185349115378774,1455132.0,0.08438,0.08434,0.08434,B-DOGE_USDT,1789193520,2026-09-12T06:12:00+00:00,240
0.08443,,-0.00011844131232985333,,,,0.0007106478739782318,-0.008347022401701506,0.31477899051617636,0.04972096723894321,0.08626547335432293,0,982887.0,0.7119640369742324,0.08437490722828593,1.185208698902996,1380529.0,0.08443,0.08434,0.08435,B-DOGE_USDT,1789193700,2026-09-12T06:15:00+00:00,301
0.08442,,-0.0003553660270076975,,,,-0.0003553660270076975,0.06174781987814406,-0.25096098370621345,-0.020366854284918374,0.07522129407770824,0,338637.0,0.3199309568820627,0.0844270785284148,1.1844365191027044,1058469.0,0.08445,0.08441,0.08442,B-DOGE_USDT,1789193880,2026-09-12T06:18:00+00:00,270
0.08439,,0.0,,,,-0.00023699490460959982,0.04905045128337665,0.14944839694685993,0.006178368358432946,0.04145969165757849,0,-1663774.0,-0.558736037257711,0.08440908057531808,1.1847171801887502,2977746.0,0.08443,0.08439,0.08442,B-DOGE_USDT,1789194060,2026-09-12T06:21:00+00:00,164
